database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
APM_INTERLINE,APM,PAYMENT_CARD,BASE TABLE,,3,VENDOR_CODE,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_CANCEL_INFO,BASE TABLE,,4,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,12,REFUND_TAX_ONLY,BOOLEAN,YES,,
APM_INTERLINE,APM,PAYMENT_INSTALLMENT,BASE TABLE,,1,INSTALLMENT_VALUE,NUMBER,YES,,
APM_INTERLINE,APM,PNR_AUDIT,BASE TABLE,,7,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,8,CIA_AEREA,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_PNR_ERROR,BASE TABLE,,9,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_TAX,BASE TABLE,,4,ID,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_OTHER_TAXES,BASE TABLE,,5,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,REFUND_PAYMENT,BASE TABLE,,2,ID,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,7,HOUSE,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,17,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,1,RULE_TYPE,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,12,PNR_PARENT,TEXT,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,8,RULE_KEY,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS,BASE TABLE,,8,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,REFUND_PAYMENT,BASE TABLE,,6,TRANSACTION_ID,TEXT,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,5,CUSTOMER_ID,NUMBER,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,1,THROUGH_FLIGHT,BOOLEAN,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,6,PNR,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_CANCEL_INFO,BASE TABLE,,9,EXCHANGE_RATE,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_CANCEL_INFO,BASE TABLE,,5,QUANTITY,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT,BASE TABLE,,8,TRANSACTION_ID,TEXT,YES,,
APM_INTERLINE,APM,REFUND_PAYMENT,BASE TABLE,,8,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,6,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,5,TICKET_CANCELED,BOOLEAN,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,18,STREET,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,10,MARKETING_CARRIER,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,3,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,16,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,CDC,TABLE_STRUCTURE_CACHE,BASE TABLE,,1,SCHEMA_NAME,TEXT,NO,,
APM_INTERLINE,APM,PNR,BASE TABLE,,16,EXCHANGE_RATE,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_OTHER_TAXES,BASE TABLE,,8,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,11,LAST_NAME,TEXT,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,4,ID,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_OTHER_TAXES,BASE TABLE,,2,TAX_TYPE,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,5,GENDER,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,13,PAYMENT_STATUS,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_TAX,BASE TABLE,,9,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_CARD,BASE TABLE,,1,BIN_CARD_NUMBER,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,10,NAME,TEXT,YES,,
APM_INTERLINE,APM,PAYMENT_OTHER_TAXES,BASE TABLE,,6,ID_PAYMENT,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,9,PNR,TEXT,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,7,HOUSE,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,3,DESTINATION_AIRPORT,TEXT,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,9,IDENTIFIER,NUMBER,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_EXECUTION,BASE TABLE,,7,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_HISTORY,BASE TABLE,,6,RULE_NAME,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,6,CABIN_CATEGORY,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,1,PNR,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,15,PNR,NUMBER,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,6,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,3,GENDER,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER_TAX,BASE TABLE,,6,PNR,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,11,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,21,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,FLIGHT_PNR_ERROR,BASE TABLE,,12,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_INSTALLMENT,BASE TABLE,,3,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_AUDIT,BASE TABLE,,1,RE_OPERATOR,TEXT,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_EXECUTION,BASE TABLE,,2,ID,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,13,NAME,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,9,AGREE_CANCELLATION_TERMS,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,21,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,FLIGHT_PNR_ERROR,BASE TABLE,,2,ID,NUMBER,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,8,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_HISTORY,BASE TABLE,,5,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PAYMENT_CARD,BASE TABLE,,7,CARD_NUMBER_LAST,NUMBER,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,4,TICKET_STATUS,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,2,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
